,ret
5,0.016836520656825657
6,-0.004794329896350092
7,0.03246131236512057
8,-0.03205182124591113
9,0.03468464920024316
10,-0.002735919410993374
11,0.07032567027126045
12,-0.01703707149958572
13,0.007946092824747172
14,-0.022792683952526673
15,-0.007955783858400853
16,-0.0017632640100907605
17,0.0002754908021688075
18,0.003931478690731989
19,0.00636303352675076
20,0.031931724155866
21,0.00509270832580163
22,-0.028509767588716428
23,-0.0062444141460048916
24,-0.012930203412605536
25,-0.03017447968773737
26,-0.014429497790650234
27,0.0014564045564065063
28,0.041123743431444267
29,0.007630649028347615
30,0.013915199354533902
31,0.027482817594295137
32,0.015627089541503273
33,-0.02361347056579552
34,0.0008318212314042885
35,-0.024482373800529842
36,-0.0033109631395882443
37,-0.005804007238507222
38,-0.012781252474923134
39,0.017588083903385524
40,-0.017818276389882537
41,-0.006136524201244838
42,-0.029240433096468482
43,0.01451846459003972
44,0.09110492316594263
45,-0.014309335925967783
46,-0.01097596132561565
47,0.014476166418546889
48,0.0018502170541692833
49,0.006814756600955917
50,-0.0031607566320955684
51,-0.025211022586364273
52,-0.0025975140615486073
53,-0.008585134668674851
54,0.022369614326067475
55,-0.014762757407923653
56,-0.009410766292150038
57,0.011921143734697246
58,-0.006283544505584316
59,0.01712625012938867
60,-0.009698366362967895
61,-0.001627692162475932
62,-0.0069537090004700396
63,-0.004457474545088104
64,-0.0067412289971757015
65,-0.004021504405749104
66,-0.012196054194688425
67,-0.012059671584571295
68,0.004211760287398932
69,-0.028271584201046838
70,0.01427015680103943
71,0.009405130755209247
72,-0.0113253677848345
73,-0.01861036434999362
74,-0.031416521249891416
75,0.01835621069723144
76,-0.013138268638918515
77,-0.009568726971987632
78,-0.0006629119664431482
79,-0.004374847212322019
80,-0.004694396986630746
81,-0.023998132863991134
82,0.009710651414066155
83,0.01400706838914927
84,-0.008978314081580237
85,-0.02162653135854318
86,-0.016004637423730424
87,0.01077335542599296
88,0.03728951406119998
89,-6.380228949975582e-05
90,0.030340644380038962
91,0.010263179406748986
92,0.006650018436206536
93,0.024654981774114904
94,-0.006558179012232274
95,-0.011652315482395743
96,-0.0005897818216014524
97,0.003361452731887104
98,0.02923857112500873
99,-0.011280640493129032
100,0.013164322906959595
101,-0.015885762922616096
102,0.007012706637805579
103,0.04445114207187077
104,-0.02412872439034257
105,0.006774067504497196
106,-0.016580502434352554
107,-0.0012379275676943178
108,-0.018747585098571683
109,-0.007610149116036043
110,-0.007302464524421862
111,-0.025855236894227515
112,0.005368631226066679
113,-0.01818391504808092
114,0.023099193794003398
115,-0.0038793677366551504
116,0.02572002997750081
117,-0.014341632156699997
118,-0.012846996634931046
119,0.014900221836627394
120,0.002915271957609814
121,0.013260305580397454
122,0.0625330287752641
123,0.0229669605508064
124,-0.010241326693834915
125,-0.020913232809573936
126,0.003441999424709593
127,-0.02159289429522915
128,0.008360007878334158
129,0.005935851751714751
130,-0.0029384478961861694
131,-0.015649471872496875
132,0.00803667347921866
133,-0.0066316260150645545
134,0.002068605265264626
135,0.03345632499008666
136,0.01770026977030683
137,0.013145935333458609
138,0.0007900895656999446
139,0.004614245327853661
140,-0.012054324590930404
141,-0.00851711852802765
142,-0.005692634294811133
143,0.005954937039441825
144,0.02623772162972715
145,0.005976303033125423
146,0.020797186498784415
147,0.01285142629560227
148,0.0062475178530499624
149,0.006179901970453279
150,-0.033421843047767096
151,-0.03046815685347502
152,0.009818589043470325
153,0.009153171635180521
154,0.026398275243622732
155,0.02314289816670826
156,-0.0006409163914612823
157,0.002495468330392025
158,-0.00801853109884804
159,0.006078298588499873
160,0.005207533030319656
161,0.0037051094094868353
162,0.009600773423633408
163,0.03079662404736938
164,0.02239128339301184
165,-0.0021845808506373394
166,0.0016372776493493932
167,-0.007127477401016562
168,-0.015744166185897822
169,0.004440568277102698
170,0.021035838929650035
171,0.0023635169974566923
172,-0.008209849151039682
173,0.005523168897311631
174,-7.753383369955667e-05
175,-0.003234544145691136
176,0.016554748040490057
177,-0.0072966587067151015
178,-0.008746617720340619
179,-0.0058706077960020905
180,0.012732016263930748
181,0.007114188487847127
182,0.005433182097550049
183,0.015885695387091645
184,0.1851188893615718
185,0.022153376322113158
